imdb_id,title,rating
tt0478970,Ant-Man,3.0
tt0068646,The Godfather,2.0
tt0080684,The Empire Strikes Back,4.0
tt0295297,Harry Potter and the Chamber of Secrets,4.0
tt0114369,Se7en,?
tt0330373,Harry Potter and the Goblet of Fire,4.0
tt0373889,Harry Potter and the Order of the Phoenix,5.0
tt0172495,Gladiator,?
tt0110357,The Lion King,4.0
tt0417741,Harry Potter and the Half-Blood Prince,4.0
tt0114709,Toy Story,3.0
tt0383574,Pirates of the Caribbean: Dead Man's Chest,?
tt0120815,Saving Private Ryan,?
tt0416449,300,?
tt0266697,Kill Bill: Vol. 1,?
tt1298650,Pirates of the Caribbean: On Stranger Tides,?
tt0480249,I Am Legend,?
tt0107290,Jurassic Park,4.0
tt1840309,Divergent,?
tt0086190,Return of the Jedi,?
tt0449088,Pirates of the Caribbean: At World's End,?
